onset	duration	stim_file	trial_type	block	hit
189	3	localizer/Scrambled15G/obj15_gscr.mov	scrambled	11	1
192	3	localizer/Scrambled15G/obj17_gscr.mov	scrambled	11	n/a
195	3	localizer/Scrambled15G/obj18_gscr.mov	scrambled	11	n/a
198	3	localizer/Faces/face_22.mov	faces	12	n/a
201	3	localizer/Faces/face_23.mov	faces	12	n/a
204	3	localizer/Faces/face_23.mov	faces	12	1
207	3	localizer/Faces/face_26.mov	faces	12	n/a
210	3	localizer/Faces/face_28.mov	faces	12	n/a
213	3	localizer/Faces/face_29.mov	faces	12	n/a
216	18	n/a	fix	13	n/a
234	3	localizer/Faces/face_3.mov	faces	14	n/a
237	3	localizer/Faces/face_30.mov	faces	14	n/a
240	3	localizer/Faces/face_30.mov	faces	14	1
243	3	localizer/Faces/face_34.mov	faces	14	n/a
246	3	localizer/Faces/face_35.mov	faces	14	n/a
249	3	localizer/Faces/face_37.mov	faces	14	n/a
252	3	localizer/Bodies/body_29.mov	bodies	15	n/a
255	3	localizer/Bodies/body_30.mov	bodies	15	n/a
258	3	localizer/Bodies/body_31.mov	bodies	15	n/a
261	3	localizer/Bodies/body_31.mov	bodies	15	1
264	3	localizer/Bodies/body_35.mov	bodies	15	n/a
267	3	localizer/Bodies/body_36.mov	bodies	15	n/a
270	3	localizer/Scrambled15G/obj19_gscr.mov	scrambled	16	n/a
273	3	localizer/Scrambled15G/obj19_gscr.mov	scrambled	16	1
276	3	localizer/Scrambled15G/obj21_gscr.mov	scrambled	16	n/a
279	3	localizer/Scrambled15G/obj22_gscr.mov	scrambled	16	n/a
282	3	localizer/Scrambled15G/obj23_gscr.mov	scrambled	16	n/a
285	3	localizer/Scrambled15G/obj24_gscr.mov	scrambled	16	n/a
288	3	localizer/Objects/obj_31.mov	objects	17	n/a
291	3	localizer/Objects/obj_31.mov	objects	17	1
294	3	localizer/Objects/obj_33.mov	objects	17	n/a
297	3	localizer/Objects/obj_37.mov	objects	17	n/a
300	3	localizer/Objects/obj_38.mov	objects	17	n/a
303	3	localizer/Objects/obj_39.mov	objects	17	n/a
306	3	localizer/Scenes/scene_35.mov	scenes	18	n/a
309	3	localizer/Scenes/scene_36.mov	scenes	18	n/a
312	3	localizer/Scenes/scene_36.mov	scenes	18	1
315	3	localizer/Scenes/scene_39.mov	scenes	18	n/a
318	3	localizer/Scenes/scene_4.mov	scenes	18	n/a
321	3	localizer/Scenes/scene_40.mov	scenes	18	n/a
324	18	n/a	fix	19	n/a
342	3	localizer/Faces/face_38.mov	faces	20	n/a
345	3	localizer/Faces/face_39.mov	faces	20	n/a
348	3	localizer/Faces/face_4.mov	faces	20	n/a
351	3	localizer/Faces/face_4.mov	faces	20	1
354	3	localizer/Faces/face_43.mov	faces	20	n/a
357	3	localizer/Faces/face_44.mov	faces	20	n/a
360	3	localizer/Objects/obj_40.mov	objects	21	n/a
363	3	localizer/Objects/obj_41.mov	objects	21	n/a
366	3	localizer/Objects/obj_42.mov	objects	21	n/a
369	3	localizer/Objects/obj_43.mov	objects	21	n/a
372	3	localizer/Objects/obj_43.mov	objects	21	1
375	3	localizer/Objects/obj_45.mov	objects	21	n/a
378	3	localizer/Scrambled15G/obj25_gscr.mov	scrambled	22	n/a
381	3	localizer/Scrambled15G/obj29_gscr.mov	scrambled	22	n/a
384	3	localizer/Scrambled15G/obj30_gscr.mov	scrambled	22	n/a
387	3	localizer/Scrambled15G/obj31_gscr.mov	scrambled	22	n/a
390	3	localizer/Scrambled15G/obj32_gscr.mov	scrambled	22	n/a
393	3	localizer/Scrambled15G/obj32_gscr.mov	scrambled	22	1
396	3	localizer/Bodies/body_37.mov	bodies	23	n/a
399	3	localizer/Bodies/body_4.mov	bodies	23	n/a
402	3	localizer/Bodies/body_4.mov	bodies	23	0
405	3	localizer/Bodies/body_42.mov	bodies	23	n/a
408	3	localizer/Bodies/body_43.mov	bodies	23	n/a
411	3	localizer/Bodies/body_44.mov	bodies	23	n/a
414	3	localizer/Scenes/scene_41.mov	scenes	24	n/a
417	3	localizer/Scenes/scene_42.mov	scenes	24	n/a
420	3	localizer/Scenes/scene_43.mov	scenes	24	n/a
423	3	localizer/Scenes/scene_44.mov	scenes	24	n/a
426	3	localizer/Scenes/scene_44.mov	scenes	24	1
429	3	localizer/Scenes/scene_46.mov	scenes	24	n/a
432	18	n/a	fix	25	n/a
